strategy,strategy_name,tp_pct,sl_pct,trail_pct,n_signals,n_wins,n_losses,n_breakeven,win_rate,total_pnl,avg_pnl,profit_factor,signals_per_day
S3_MOMENTUM,Momentum only,3.0,2.0,0.5,48,38,6,4,0.7916666666666666,196.81572602352205,4.100327625490043,94.87036020905896,0.18823529411764706
S3_MOMENTUM,Momentum only,2.5,2.0,0.5,48,38,6,4,0.7916666666666666,196.81572602352205,4.100327625490043,94.87036020905896,0.18823529411764706
S3_MOMENTUM,Momentum only,2.0,1.5,0.5,48,38,6,4,0.7916666666666666,196.81572602352205,4.100327625490043,94.87036020905896,0.18823529411764706
S10_MULTI,Multi-factor,3.0,2.0,0.5,46,35,8,3,0.7608695652173914,117.44709541747616,2.5531977264668733,40.10099897963426,0.18039215686274512
S10_MULTI,Multi-factor,2.0,1.5,0.5,46,35,8,3,0.7608695652173914,117.44709541747616,2.5531977264668733,40.10099897963426,0.18039215686274512
S10_MULTI,Multi-factor,2.5,2.0,0.5,46,35,8,3,0.7608695652173914,117.44709541747616,2.5531977264668733,40.10099897963426,0.18039215686274512
S3_MOMENTUM,Momentum only,7.0,3.0,1.5,48,36,12,0,0.75,158.91446915587298,3.3107181074140204,12.572581095450433,0.18823529411764706
S3_MOMENTUM,Momentum only,5.0,3.0,1.5,48,36,12,0,0.75,158.91446915587298,3.3107181074140204,12.572581095450433,0.18823529411764706
S7_PULLBACK,Pullback (buy dip),2.0,1.5,0.5,63,45,14,4,0.7142857142857143,87.09222999206528,1.3824163490804013,20.98740255589688,0.24705882352941178
S7_PULLBACK,Pullback (buy dip),2.5,2.0,0.5,63,45,14,4,0.7142857142857143,87.09222999206528,1.3824163490804013,20.98740255589688,0.24705882352941178
S7_PULLBACK,Pullback (buy dip),3.0,2.0,0.5,63,45,14,4,0.7142857142857143,87.09222999206528,1.3824163490804013,20.98740255589688,0.24705882352941178
S2_LOOSE,Loose (more signals),3.0,2.0,0.5,558,396,134,28,0.7096774193548387,829.6861662438039,1.4868927710462436,22.16818207120824,2.1882352941176473
S2_LOOSE,Loose (more signals),2.0,1.5,0.5,558,396,134,28,0.7096774193548387,829.6861662438039,1.4868927710462436,22.16818207120824,2.1882352941176473
S2_LOOSE,Loose (more signals),2.5,2.0,0.5,558,396,134,28,0.7096774193548387,829.6861662438039,1.4868927710462436,22.16818207120824,2.1882352941176473
S10_MULTI,Multi-factor,7.0,3.0,1.5,46,32,14,0,0.6956521739130435,82.81767007569019,1.8003841320802214,6.11981924251165,0.18039215686274512
S10_MULTI,Multi-factor,5.0,3.0,1.5,46,32,14,0,0.6956521739130435,82.81767007569019,1.8003841320802214,6.11981924251165,0.18039215686274512
S5_ANTI_LATE,Anti-late only,2.5,2.0,0.5,757,512,178,67,0.6763540290620872,1045.7651370447495,1.3814598904157853,21.757063073355855,2.9686274509803923
S5_ANTI_LATE,Anti-late only,2.0,1.5,0.5,757,512,178,67,0.6763540290620872,1045.7651370447495,1.3814598904157853,21.757063073355855,2.9686274509803923
S5_ANTI_LATE,Anti-late only,3.0,2.0,0.5,757,512,178,67,0.6763540290620872,1045.7651370447495,1.3814598904157853,21.757063073355855,2.9686274509803923
S9_CONF_HIGH,High confidence only,5.0,3.0,1.5,14,9,5,0,0.6428571428571429,32.00946384436512,2.2863902745975087,6.387797689663768,0.054901960784313725
S9_CONF_HIGH,High confidence only,7.0,3.0,1.5,14,9,5,0,0.6428571428571429,32.00946384436512,2.2863902745975087,6.387797689663768,0.054901960784313725
S9_CONF_HIGH,High confidence only,3.0,2.0,0.5,14,9,3,2,0.6428571428571429,43.74915086583452,3.1249393475596086,45.94210562822584,0.054901960784313725
S9_CONF_HIGH,High confidence only,2.5,2.0,0.5,14,9,3,2,0.6428571428571429,43.74915086583452,3.1249393475596086,45.94210562822584,0.054901960784313725
S9_CONF_HIGH,High confidence only,2.0,1.5,0.5,14,9,3,2,0.6428571428571429,43.74915086583452,3.1249393475596086,45.94210562822584,0.054901960784313725
S7_PULLBACK,Pullback (buy dip),5.0,3.0,1.5,63,40,23,0,0.6349206349206349,46.49470234548859,0.7380111483410887,2.7789014091973137,0.24705882352941178
S7_PULLBACK,Pullback (buy dip),7.0,3.0,1.5,63,40,23,0,0.6349206349206349,46.49470234548859,0.7380111483410887,2.7789014091973137,0.24705882352941178
S1_ULTRA_STRICT,Ultra Strict (current),2.0,1.5,0.5,36,22,13,1,0.6111111111111112,108.73612760209454,3.020447988947071,28.946147117766234,0.1411764705882353
S1_ULTRA_STRICT,Ultra Strict (current),3.0,2.0,0.5,36,22,13,1,0.6111111111111112,108.73612760209454,3.020447988947071,28.946147117766234,0.1411764705882353
